File name	 Run No	  Mean Incidence (deg)	  Amplitude (deg)	  Oscillation Freq. (Hz)	  Reynolds No.	 Mach No.	 Reduced Frequency 
11013711	 13711	  7	  8	  2.912	  1399500	 0.1149	 0.12616 
11013721	 13721	  8	  8	  2.912	  1397700	 0.1149	 0.1261 
11013731	 13731	  9	  8	  2.912	  1397700	 0.1149	 0.1261 
11013741	 13741	  11	  8	  2.912	  1397100	 0.1149	 0.12607 
11013761	 13761	  12	  8	  2.912	  1458400	 0.11723	 0.12461 
11013771	 13771	  13	  8	  2.912	  1455200	 0.11723	 0.12451 
11013781	 13781	  14	  8	  2.912	  1454000	 0.11723	 0.12447 
11013791	 13791	  15	  8	  2.912	  1453300	 0.11723	 0.12445 
11013801	 13801	  16	  8	  2.912	  1451400	 0.11723	 0.12438 
11013811	 13811	  17	  8	  2.912	  1450800	 0.11723	 0.12436 
11013821	 13821	  20	  8	  2.912	  1450200	 0.11723	 0.12434 
11013831	 13831	  3	  8	  3.496	  1456700	 0.11653	 0.15078 
11013841	 13841	  4	  8	  3.496	  1454800	 0.11653	 0.1507 
11013851	 13851	  5	  8	  3.496	  1453500	 0.11653	 0.15065 
11013861	 13861	  6	  8	  3.496	  1452900	 0.11653	 0.15063 
11013871	 13871	  7	  8	  3.496	  1451000	 0.11653	 0.15055 
11013881	 13881	  8	  8	  3.496	  1450400	 0.11653	 0.15053 
11013891	 13891	  9	  8	  3.496	  1449100	 0.11653	 0.15047 
11013901	 13901	  11	  8	  3.496	  1447800	 0.11653	 0.15042 
11013911	 13911	  12	  8	  3.496	  1462800	 0.11759	 0.14915 
11013921	 13921	  13	  8	  3.496	  1460300	 0.11759	 0.14905 
11013931	 13931	  14	  8	  3.496	  1459000	 0.11759	 0.149 
11013941	 13941	  15	  8	  3.496	  1457100	 0.11759	 0.14892 
11013951	 13951	  16	  8	  3.496	  1456500	 0.11759	 0.1489 
11013961	 13961	  17	  8	  3.496	  1455200	 0.11759	 0.14885 
11013971	 13971	  20	  8	  3.496	  1454600	 0.11759	 0.14882 
11013981	 13981	  3	  8	  4.077	  1449100	 0.11679	 0.17495 
11013991	 13991	  4	  8	  4.077	  1447200	 0.11679	 0.17486 
11014001	 14001	  5	  8	  4.077	  1446000	 0.11679	 0.1748 
11014011	 14011	  6	  8	  4.077	  1444700	 0.11679	 0.17474 
11014021	 14021	  7	  8	  4.077	  1443500	 0.11679	 0.17468 
11014031	 14031	  8	  8	  4.077	  1442900	 0.11679	 0.17465 
11014041	 14041	  9	  8	  4.077	  1442200	 0.11679	 0.17462 
11014051	 14051	  11	  8	  4.077	  1441000	 0.11679	 0.17457 
11014061	 14061	  12	  8	  4.077	  1445500	 0.11715	 0.17402 
11014071	 14071	  13	  8	  4.077	  1444200	 0.11715	 0.17396 
11014081	 14081	  14	  8	  4.077	  1443000	 0.11715	 0.17391 
11014091	 14091	  15	  8	  4.077	  1441800	 0.11715	 0.17385 
11014101	 14101	  16	  8	  4.077	  1441100	 0.11715	 0.17382 
11014111	 14111	  17	  8	  4.077	  1439900	 0.11715	 0.17376 
11014121	 14121	  20	  8	  4.077	  1438700	 0.11715	 0.1737 
11014141	 14141	  3	  8	  1.557	  974020	 0.07809	 0.10013 
11014151	 14151	  4	  8	  1.557	  973590	 0.07809	 0.10011 
11014161	 14161	  5	  8	  1.557	  973170	 0.07809	 0.10009 
11014171	 14171	  6	  8	  1.577	  973170	 0.07809	 0.10138 
11014181	 14181	  7	  8	  1.557	  972190	 0.078317	 0.09965 
11014191	 14191	  8	  8	  1.557	  972750	 0.07809	 0.10008 
11014201	 14201	  9	  8	  1.557	  972320	 0.07809	 0.10006 
11014211	 14211	  10	  8	  1.557	  971900	 0.07809	 0.10004 
11014221	 14221	  11	  8	  1.557	  971540	 0.078061	 0.10008 
11014231	 14231	  12	  8	  1.557	  970690	 0.078061	 0.10004 
11014241	 14241	  13	  8	  1.557	  970690	 0.078061	 0.10004 
11014251	 14251	  14	  8	  1.577	  970270	 0.078061	 0.10131 
11014261	 14261	  15	  8	  1.557	  970270	 0.078061	 0.10003 
11014271	 14271	  16	  8	  1.557	  969850	 0.078061	 0.10001 
11014281	 14281	  17	  8	  1.557	  969850	 0.078061	 0.10001 
11014291	 14291	  20	  8	  1.557	  969430	 0.078061	 0.099994 
11014311	 14311	  3	  8	  3.103	  1873600	 0.1546	 0.099662 
11014321	 14321	  4	  8	  3.103	  1868800	 0.1546	 0.099563 
11014331	 14331	  5	  8	  3.103	  1866500	 0.1546	 0.099514 
11014341	 14341	  6	  8	  3.103	  1864900	 0.1546	 0.099481 
11014351	 14351	  7	  8	  3.103	  1862500	 0.1546	 0.099432 
11014361	 14361	  8	  8	  3.103	  1860200	 0.1546	 0.099383 
11014371	 14371	  9	  8	  3.103	  1857800	 0.1546	 0.099333 
11014381	 14381	  10	  8	  3.103	  1855500	 0.1546	 0.099284 
11014391	 14391	  11	  8	  3.103	  1837500	 0.15266	 0.10067 
11014401	 14401	  12	  8	  3.103	  1832800	 0.15266	 0.10057 
11014411	 14411	  13	  8	  3.103	  1830500	 0.15266	 0.10052 
11014421	 14421	  14	  8	  3.103	  1827500	 0.15266	 0.10045 
11014431	 14431	  15	  8	  3.103	  1825900	 0.15266	 0.10042 
11014441	 14441	  16	  8	  3.103	  1823600	 0.15266	 0.10037 
11014451	 14451	  17	  8	  3.103	  1822100	 0.15266	 0.10034 
11014461	 14461	  20	  8	  3.103	  1819800	 0.15266	 0.10029 
