960.94	0.13505	0.17537	-0.012041	-0.18684	-0.2916	-0.32203	-0.32873	-0.31336	-0.29597	-0.27944	-0.27203	-0.26738	-0.25843	-0.037245	0.44631	0.94533	1.1868	1.1907	1.1432	-3.0727	-0.91838	-0.76984	-0.52785	-0.4568	-0.38191	-0.34982	-0.32559	-0.29375	-0.26768	-0.20531	-0.14374	-0.045059	0.036753	0.13416	0.099586	-2.2705
961.24	0.12948	0.17312	-0.012038	-0.18999	-0.2931	-0.32432	-0.33101	-0.31484	-0.29676	-0.2811	-0.27284	-0.26992	-0.26301	-0.04305	0.44267	0.94326	1.1864	1.1939	1.1429	-3.0451	-0.90807	-0.76265	-0.5216	-0.45136	-0.37655	-0.34404	-0.3211	-0.2897	-0.26405	-0.20257	-0.14237	-0.045919	0.035867	0.13191	0.09559	-2.2217
960.79	0.12843	0.16772	-0.016057	-0.19249	-0.29641	-0.32607	-0.33355	-0.31815	-0.3004	-0.28384	-0.27741	-0.27267	-0.26546	-0.045397	0.4347	0.93845	1.1835	1.205	1.1469	-3.0221	-0.89754	-0.75558	-0.5157	-0.44582	-0.37192	-0.34028	-0.31687	-0.28632	-0.26151	-0.20177	-0.14288	-0.047255	0.035009	0.13064	0.093872	-2.1875
961.09	0.12839	0.16767	-0.016052	-0.19163	-0.30107	-0.32676	-0.33662	-0.32199	-0.30293	-0.28723	-0.27999	-0.27695	-0.27003	-0.052367	0.42872	0.93291	1.1831	1.2011	1.157	-2.9888	-0.88418	-0.74748	-0.50985	-0.44082	-0.36701	-0.33537	-0.3137	-0.28403	-0.2601	-0.20216	-0.14284	-0.047678	0.034561	0.13016	0.094722	-2.1436
961.24	0.13169	0.16655	-0.013642	-0.1932	-0.30181	-0.3283	-0.33974	-0.32589	-0.30639	-0.29067	-0.28439	-0.2804	-0.27581	-0.058176	0.42281	0.92751	1.1864	1.2079	1.1604	-2.9546	-0.87095	-0.73997	-0.50455	-0.43589	-0.36346	-0.33227	-0.3119	-0.28311	-0.25873	-0.20123	-0.14326	-0.045919	0.035868	0.13235	0.097791	-2.0996
960.79	0.13286	0.16663	-0.012045	-0.19249	-0.30354	-0.32766	-0.34228	-0.32762	-0.30915	-0.29342	-0.28719	-0.2849	-0.27943	-0.06286	0.41717	0.92265	1.1835	1.205	1.1609	-2.9154	-0.85736	-0.73331	-0.49955	-0.43212	-0.36057	-0.33068	-0.31161	-0.28192	-0.25751	-0.19998	-0.14113	-0.042878	0.038947	0.13727	0.10269	-2.0899
960.79	0.13728	0.16663	-0.01124	-0.19249	-0.30195	-0.32686	-0.34308	-0.3292	-0.31178	-0.29603	-0.28986	-0.2884	-0.28292	-0.069844	0.40782	0.91563	1.18	1.205	1.1679	-2.8725	-0.84382	-0.72719	-0.49604	-0.42858	-0.35796	-0.32981	-0.3103	-0.28192	-0.25618	-0.19774	-0.13762	-0.039379	0.041572	0.14168	0.10797	-2.0069
961.39	0.13831	0.16652	-0.011232	-0.19317	-0.29939	-0.32746	-0.34286	-0.33057	-0.31159	-0.29758	-0.29234	-0.29084	-0.28856	-0.075617	0.40172	0.90983	1.1793	1.2042	1.1672	-2.8313	-0.83018	-0.71976	-0.49181	-0.42523	-0.35511	-0.32742	-0.30791	-0.28087	-0.25336	-0.19404	-0.13622	-0.036732	0.041546	0.14291	0.11055	-1.9727
960.79	0.13729	0.16772	-0.012845	-0.19409	-0.29957	-0.32846	-0.34228	-0.32999	-0.31354	-0.29951	-0.2943	-0.29365	-0.2934	-0.079158	0.3938	0.89984	1.1765	1.2015	1.1784	-2.7948	-0.81889	-0.71369	-0.48772	-0.42196	-0.35185	-0.32501	-0.30504	-0.27752	-0.24908	-0.19193	-0.13368	-0.03544	0.041574	0.14344	0.11062	-1.9239
960.94	0.13284	0.16551	-0.017661	-0.19566	-0.29874	-0.3292	-0.34302	-0.32994	-0.31349	-0.30207	-0.29781	-0.29884	-0.29801	-0.087293	0.38672	0.89093	1.1728	1.2048	1.1747	-2.7607	-0.80787	-0.70788	-0.48286	-0.41835	-0.3483	-0.32147	-0.30148	-0.27484	-0.24638	-0.19056	-0.13322	-0.03456	0.041129	0.14122	0.10708	-1.9092
